Start Date	03/27/2026
End Date	04/30/2026
Report Type	Apple Music
Storefront Name	Apple Identifier	ISRC	Vendor Identifier	Content Title	Artist	Media Type	Spatial Availability Indicator	Label/Studio/Network	Grid	Product	Total  Royalty Bearing Plays	Net Royalty Total	Currency	Offline Indicator
AE	1840957935	MXF602500194	MXF602500194	Quién Soy	Los Alumnos de Tomy Zombie	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	9	0.175644	AED	0
AE	1844699973	MXF602500258	MXF602500258	Basta (En Vivo) [feat. Armando Manzanero & Pablo Ahmad]	Carlos Macías	1	0	Fonarte Latino, S.A. de C.V.		Family Monthly PAID	4	0.078064	AED	0
AE	152417388	MXF600601002	MXF600601002	Son al Son	Orquesta Aragón	1	0	Fonarte Latino, S.A. de C.V.		Individual Annual PAID	1	0.020000	AED	0
AE	144001167	MXF600600029	MXF600600029	Vierte Corazon Tu Pena	Pablo Milanés	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	145983047	MXF600600428	MXF600600428	Hoy Ten Miedo de Mi	Fernando Delgadillo	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	4	0.126376	AED	0
AE	146844535	MXF600600186	MXF600600186	Esa Mujer	Alejandro Filio	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
AE	148131437	MXF600600275	MXF600600275	Anaclara	Daniel Viglietti	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	2	0.063188	AED	0
AE	152417388	MXF600601002	MXF600601002	Son al Son	Orquesta Aragón	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	5	0.157970	AED	0
AE	180111849	MXF600600239	MXF600600239	Son de Mayari	Los Folkloristas	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	1
AE	180111849	MXF600600239	MXF600600239	Son de Mayari	Los Folkloristas	1	0	Fonarte Latino, S.A. de C.V.		Individual Monthly PAID	1	0.031594	AED	0
