Start Date	12/26/2025
End Date	01/29/2026
Report Type	Apple Music
Storefront Name	Apple Identifier	Membership Type	Quantity	Net Royalty	Net Royalty Total	Currency	ISRC	Item Title	Item Artist	Item Type	Media Type	Vendor Identifier	Offline Indicator	Label/Studio/Network	Grid
AU	555716427	Individual Monthly Gratis Trial	1	0	0	AUD	MXF601200800	Ya Habibi	Fadi El Saadi	0	1	MXF601200800	0	Fonarte Latino, S.A. de C.V.	
AU	727847169	Individual Monthly Gratis Trial	1	0	0	AUD	MXF601301081	La Morena	RamÃ³n GutiÃ©rrez HernÃ¡ndez (Son De Madera)	0	1	MXF601301081	0	Fonarte Latino, S.A. de C.V.	
AU	1441823704	Individual Monthly Gratis Trial	1	0	0	AUD	MXF601800632	Pisando Chueco	GorriÃ³n Serrano	0	1	MXF601800632	0	Fonarte Latino, S.A. de C.V.	
AU	1490328040	Individual Monthly Gratis Trial	2	0	0	AUD	MXF601900608	Y Vuelve La Luna Llena / PermÃ­teme Amarte sin Palabras	Edel JuÃ¡rez, Chinoy	0	1	MXF601900608	0	Fonarte Latino, S.A. de C.V.	
AU	1490328040	Individual Monthly Gratis Trial	1	0	0	AUD	MXF601900608	Y Vuelve La Luna Llena / PermÃ­teme Amarte sin Palabras	Edel JuÃ¡rez, Chinoy	0	1	MXF601900608	1	Fonarte Latino, S.A. de C.V.	
AU	555716421	Student Monthly Gratis Trial	1	0	0	AUD	MXF601200794	Deg Al Mani	Fadi El Saadi	0	1	MXF601200794	0	Fonarte Latino, S.A. de C.V.	
AU	555716421	Apple One Family Monthly Hardware Offer (3 Month)	3	0.028	0.084	AUD	MXF601200794	Deg Al Mani	Fadi El Saadi	0	1	MXF601200794	0	Fonarte Latino, S.A. de C.V.	
AU	555716423	Apple One Family Monthly Hardware Offer (3 Month)	1	0.028	0.028	AUD	MXF601200796	Ya Waed Ya Teel	Fadi El Saadi	0	1	MXF601200796	0	Fonarte Latino, S.A. de C.V.	
AU	555716427	Apple One Family Monthly Hardware Offer (3 Month)	1	0.028	0.028	AUD	MXF601200800	Ya Habibi	Fadi El Saadi	0	1	MXF601200800	0	Fonarte Latino, S.A. de C.V.	
AU	160579829	Apple One Individual Monthly Hardware Offer (3 Month)	1	0.033333	0.033333	AUD	MXF600602067	Rompiendo el Silencio (Veracruz)	Mista G	0	1	MXF600602067	0	Fonarte Latino, S.A. de C.V.	
AU	1502764069	Apple One Individual Monthly Hardware Offer (3 Month)	2	0.033333	0.066666	AUD	MXF602000161	Betwanes Beek	Fadi El Saadi	0	1	MXF602000161	0	Fonarte Latino, S.A. de C.V.	
AU	878243914	Apple One Premier Monthly Hardware Offer (3 Month)	1	0.03	0.03	AUD	MXF601400506	Bite Her Back!	Marc Osterer	0	1	MXF601400506	0	Fonarte Latino, S.A. de C.V.	
AU	909471764	Apple One Premier Monthly Hardware Offer (3 Month)	1	0.03	0.03	AUD	MXF601400799	Cuando Me Besas	Carlos MacÃ­as	0	1	MXF601400799	0	Fonarte Latino, S.A. de C.V.	
AU	152417280	Family Introductory OFFER	1	0.0025	0.0025	AUD	MXF600600990	La Guanabana	ZacamandÃº	0	1	MXF600600990	0	Fonarte Latino, S.A. de C.V.	
AU	934536124	Family Introductory OFFER	1	0.0025	0.0025	AUD	MXF601401007	La Iguana	Son de Madera	0	1	MXF601401007	0	Fonarte Latino, S.A. de C.V.	
